County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Crawford County, OH",,,,," 41,494 ",0.0%, 615 , 463 ,20.1%,16.8%,,,,,,
"Crawford County, PA",,,,," 84,629 ",0.0%, 457 , 506 ,18.6%,20.2%,,,,,,
"Crawford County, WI",,,,," 16,131 ",0.0%," 2,492 ", 992 ,27.6%,17.1%,,,,,,
"Creek County, OK",,,,," 71,522 ",0.0%, 489 , 386 ,18.5%,18.3%,,,,,,
"Crittenden County, AR",,,,," 47,955 ",0.0%, 334 , 361 ,10.4%,13.1%,,,,,,
"Crittenden County, KY",,,,," 8,806 ",0.0%, 295 , 250 ,13.0%,3.9%,,,,,,
"Crockett County, TN",,,,," 14,230 ",0.0%, 379 , 401 ,20.8%,17.8%,,,,,,
"Crockett County, TX",,,,," 3,464 ",0.0%," 2,512 "," 1,184 ",0.0%,0.0%,,,,,,
"Crook County, OR",,,,," 24,404 ",0.0%, 143 , 94 ,10.5%,8.4%,,,,,,
"Crook County, WY",,,,," 7,584 ",0.0%, 343 , 778 ,41.7%,19.0%,,,,,,
"Crosby County, TX",,,,," 5,737 ",0.0%, 174 , 227 ,16.4%,30.8%,,,,,,
"Cross County, AR",,,,," 16,419 ",0.0%, 548 , 408 ,9.8%,17.7%,,,,,,
"Crow Wing County, MN",,,,," 65,055 ",0.1%, 858 ," 1,042 ",19.3%,22.9%,,,,,,
"Crowley County, CO",,,,," 6,061 ",0.0%," 3,811 "," 7,689 ",8.7%,12.7%,,,,,,
"Culberson County, TX",,,,," 2,171 ",0.0%," 1,889 ", 783 ,14.7%,42.3%,,,,,,
"Culebra, PR",,,,," 1,818 ",0.0%, -   , -   ,,20.0%,,,,,,
"Culpeper County, VA",,,,," 52,605 ",0.0%, 643 , 352 ,39.8%,15.6%,,,,,,
"Cumberland County, IL",,,,," 10,766 ",0.0%, 511 , 492 ,14.5%,13.0%,,,,,,
"Cumberland County, KY",,,,," 6,614 ",0.0%, 151 , 454 ,7.7%,6.2%,,,,,,
"Cumberland County, NC",,,,," 335,509 ",0.1%, 173 , 139 ,11.8%,12.9%,,,,,,
"Cumberland County, PA",,,,," 253,370 ",0.1%, 334 , 277 ,11.5%,11.2%,,,,,,
"Cumberland County, TN",,,,," 60,520 ",0.0%, 342 , 428 ,7.2%,12.5%,,,,,,
"Cuming County, NE",,,,," 8,846 ",0.0%, 509 ," 1,051 ",28.7%,43.2%,,,,,,
"Curry County, NM",,,,," 48,954 ",0.0%, 682 , 819 ,21.9%,23.2%,,,,,,
"Custer County, CO",,,,," 5,068 ",0.0%, 237 , 178 ,13.4%,8.5%,,,,,,
"Custer County, ID",,,,," 4,315 ",0.0%, 301 , 301 ,19.0%,35.6%,,,,,,
"Custer County, MT",,,,," 11,402 ",0.0%, 570 ," 1,579 ",26.8%,42.7%,,,,,,
"Custer County, NE",,,,," 10,777 ",0.0%, 538 , 575 ,27.3%,36.7%,,,,,,
"Custer County, OK",,,,," 29,003 ",0.0%," 1,079 ", 552 ,31.2%,24.4%,,,,,,
"Custer County, SD",,,,," 8,972 ",0.0%, 546 , 646 ,14.3%,19.0%,,,,,,
"Cuyahoga County, OH",,,,," 1,235,072 ",0.7%, 641 , 412 ,14.4%,14.2%,,,,,,
"Dade County, MO",,,,," 7,561 ",0.0%, 225 , 608 ,10.5%,26.8%,,,,,,
"Daggett County, UT",,,,, 950 ,0.0%, 526 , -   ,27.3%,9.1%,,,,,,
"Dakota County, MN",,,,," 429,021 ",0.3%, 709 , 761 ,12.3%,15.2%,,,,,,
"Dakota County, NE",,,,," 20,026 ",0.0%, 679 , 859 ,17.2%,25.6%,,,,,,
"Dale County, AL",,,,," 49,172 ",0.0%, 130 , 185 ,10.3%,11.5%,,,,,,
"Dallam County, TX",,,,," 7,287 ",0.0%, 27 , 137 ,21.1%,15.4%,,,,,,
"Dallas County, AL",,,,," 37,196 ",0.0%, 81 , 134 ,14.4%,13.0%,,,,,,
"Dallas County, AR",,,,," 7,009 ",0.0%, 471 , 642 ,17.4%,14.4%,,,,,,
"Dallas County, IA",,,,," 93,453 ",0.1%, 551 , 827 ,15.1%,19.6%,,,,,,
"Dallas County, MO",,,,," 16,878 ",0.0%, 213 , 373 ,8.1%,13.3%,,,,,,
"Dallas County, TX",,,,," 2,635,516 ",0.5%, 219 , 250 ,11.9%,14.5%,,,,,,
"Dane County, WI",,,,," 546,695 ",0.2%, 416 , 646 ,6.5%,9.3%,,,,,,
"Daniels County, MT",,,,," 1,690 ",0.0%," 1,243 "," 1,065 ",34.4%,37.5%,,,,,,
"Darke County, OH",,,,," 51,113 ",0.0%, 906 , 554 ,31.0%,27.8%,,,,,,
"Darlington County, SC",,,,," 66,618 ",0.0%, 129 , 198 ,5.8%,10.2%,,,,,,
"Dauphin County, PA",,,,," 278,299 ",0.1%, 307 , 232 ,13.0%,12.0%,,,,,,
"Davidson County, NC",,,,," 167,609 ",0.0%, 265 , 207 ,10.5%,10.1%,,,,,,
"Davidson County, TN",,,,," 694,144 ",0.2%, 372 , 390 ,10.6%,9.7%,,,,,,
"Davie County, NC",,,,," 42,846 ",0.0%, 268 , 257 ,7.4%,10.7%,,,,,,
"Daviess County, IN",,,,," 33,351 ",0.0%, 714 , 477 ,21.2%,19.0%,,,,,,
"Daviess County, KY",,,,," 101,511 ",0.0%, 285 , 338 ,17.5%,13.1%,,,,,,
"Daviess County, MO",,,,," 8,278 ",0.0%, 314 , 314 ,18.6%,18.6%,,,,,,
"Davis County, IA",,,,," 9,000 ",0.0%, 411 ," 1,089 ",15.3%,34.8%,,,,,,
"Davis County, UT",,,,," 355,481 ",0.1%, 450 , 570 ,17.6%,15.5%,,,,,,
"Davison County, SD",,,,," 19,775 ",0.0%, 900 ," 2,255 ",25.5%,34.0%,,,,,,
"Dawes County, NE",,,,," 8,589 ",0.0%, 407 , 536 ,16.6%,16.9%,,,,,,
"Dawson County, GA",,,,," 26,108 ",0.0%, 260 , 214 ,18.8%,11.3%,,,,,,
"Dawson County, MT",,,,," 8,613 ",0.0%, 708 ," 1,091 ",22.2%,30.6%,,,,,,
"Dawson County, NE",,,,," 23,595 ",0.0%, 581 , 737 ,25.2%,31.2%,,,,,,
"Dawson County, TX",,,,," 12,728 ",0.0%, 244 , 731 ,9.0%,27.4%,,,,,,
"Day County, SD",,,,," 5,424 ",0.0%," 1,069 "," 1,254 ",23.5%,34.3%,,,,,,
"De Baca County, NM",,,,," 1,748 ",0.0%, 629 , 458 ,17.1%,16.7%,,,,,,
"De Witt County, IL",,,,," 15,638 ",0.0%, 262 , 345 ,9.7%,10.7%,,,,,,
"Deaf Smith County, TX",,,,," 18,546 ",0.0%, 221 , 146 ,38.2%,41.2%,,,,,,
"Dearborn County, IN",,,,," 49,458 ",0.0%, 681 , 780 ,15.9%,17.3%,,,,,,
"Decatur County, IA",,,,," 7,870 ",0.0%, 280 , 407 ,20.0%,14.7%,,,,,,
"Decatur County, IN",,,,," 26,559 ",0.0%, 648 , 821 ,14.5%,20.9%,,,,,,
"Decatur County, KS",,,,," 2,827 ",0.0%, 318 , 424 ,28.6%,19.4%,,,,,,
"Decatur County, TN",,,,," 11,663 ",0.0%, 497 , 892 ,19.8%,16.2%,,,,,,
"Deer Lodge County, MT",,,,," 9,140 ",0.0%, 438 , 689 ,15.0%,21.9%,,,,,,
"Defiance County, OH",,,,," 38,087 ",0.0%, 651 , 617 ,26.7%,29.8%,,,,,,
"DeKalb County, AL",,,,," 71,513 ",0.0%, 263 , 322 ,24.0%,16.9%,,,,,,
"DeKalb County, IL",,,,," 104,897 ",0.0%, 429 , 574 ,10.6%,16.8%,,,,,,
"DeKalb County, IN",,,,," 43,475 ",0.0%, 504 , 729 ,13.1%,16.9%,,,,,,
"DeKalb County, MO",,,,," 12,547 ",0.0%, 590 , 534 ,12.9%,16.5%,,,,,,
"DeKalb County, TN",,,,," 20,490 ",0.0%, 420 , 620 ,3.0%,10.8%,,,,,,
"Delaware County, IA",,,,," 17,011 ",0.0%, 511 , 952 ,25.4%,31.7%,,,,,,
"Delaware County, IN",,,,," 114,135 ",0.0%, 418 , 420 ,12.7%,12.6%,,,,,,
"Delaware County, OH",,,,," 209,177 ",0.1%, 483 , 369 ,10.2%,14.0%,,,,,,
"Delaware County, OK",,,,," 43,009 ",0.0%, 446 , 365 ,22.7%,18.4%,,,,,,
"Delaware County, PA",,,,," 566,747 ",0.2%, 301 , 300 ,10.2%,10.4%,,,,,,
"Delta County, CO",,,,," 31,162 ",0.0%, 488 , 331 ,11.8%,12.2%,,,,,,
"Delta County, MI",,,,," 35,784 ",0.0%, 422 , 981 ,12.3%,20.0%,,,,,,
"Delta County, TX",,,,," 5,331 ",0.0%, 75 , 38 ,18.6%,5.4%,,,,,,
"Dent County, MO",,,,," 15,573 ",0.0%, 405 , 494 ,39.2%,50.0%,,,,,,
"Denton County, TX",,,,," 887,207 ",0.1%, 165 , 135 ,10.1%,13.5%,,,,,,
"Denver County, CO",,,,," 727,211 ",0.3%, 525 , 640 ,8.9%,12.0%,,,,,,
"Des Moines County, IA",,,,," 38,967 ",0.0%, 652 , 819 ,15.6%,21.0%,,,,,,
"Deschutes County, OR",,,,," 197,692 ",0.0%, 211 , 112 ,11.8%,10.5%,,,,,,
"Desha County, AR",,,,," 11,361 ",0.0%, 361 , 238 ,10.1%,12.1%,,,,,,
"DeSoto County, FL",,,,," 38,001 ",0.0%, 447 , 371 ,17.9%,19.4%,,,,,,
"DeSoto County, MS",,,,," 184,945 ",0.1%, 341 , 371 ,17.5%,15.8%,,,,,,
"Deuel County, NE",,,,," 1,794 ",0.0%, 446 , 111 ,33.3%,31.2%,,,,,,
"Deuel County, SD",,,,," 4,351 ",0.0%, 575 , 758 ,10.7%,12.5%,,,,,,
"Dewey County, OK",,,,," 4,891 ",0.0%," 1,268 ", 593 ,26.5%,15.0%,,,,,,
"Dewey County, SD",,,,," 5,892 ",0.0%," 1,561 "," 1,799 ",31.6%,8.0%,,,,,,
"DeWitt County, TX",,,,," 20,160 ",0.0%, 74 , 193 ,13.8%,23.9%,,,,,,
"Dickens County, TX",,,,," 2,211 ",0.0%, 45 , 181 ,0.0%,28.6%,,,,,,
"Dickenson County, VA",,,,," 14,318 ",0.0%, 182 , 203 ,20.0%,31.3%,,,,,,
"Dickey County, ND",,,,," 4,872 ",0.0%, 616 ," 1,293 ",8.4%,14.4%,,,,,,
"Dickinson County, IA",,,,," 17,258 ",0.0%, 747 , 620 ,21.3%,25.6%,,,,,,
"Dickinson County, KS",,,,," 18,466 ",0.0%, 401 , 547 ,23.6%,26.7%,,,,,,
"Dickinson County, MI",,,,," 25,239 ",0.0%, 729 ," 1,098 ",17.3%,30.8%,,,,,,
"Dickson County, TN",,,,," 53,948 ",0.0%, 488 , 656 ,13.1%,23.3%,,,,,,
"Dillon County, SC",,,,," 30,479 ",0.0%, 194 , 154 ,11.4%,10.1%,,,,,,
"Dimmit County, TX",,,,," 10,124 ",0.0%, 316 , 188 ,7.2%,12.1%,,,,,,
"Dinwiddie County, VA",,,,," 28,544 ",0.0%, 130 , 60 ,13.0%,9.3%,,,,,,
"Divide County, ND",,,,," 2,264 ",0.0%, 221 , 751 ,3.3%,2.3%,,,,,,
"Dixon County, NE",,,,," 5,636 ",0.0%, 745 ," 1,508 ",38.6%,29.7%,,,,,,
"Doddridge County, WV",,,,," 8,448 ",0.0%, 201 , 95 ,10.3%,3.8%,,,,,,
"Dodge County, GA",,,,," 20,605 ",0.0%, 53 , 107 ,5.0%,11.1%,,,,,,
"Dodge County, MN",,,,," 20,934 ",0.0%, 411 , 903 ,10.1%,12.0%,,,,,,
"Dodge County, NE",,,,," 36,565 ",0.0%, 766 , 829 ,28.5%,24.1%,,,,,,
"Dodge County, WI",,,,," 87,839 ",0.1%, 750 ," 1,307 ",14.9%,16.9%,,,,,,
"Dolores County, CO",,,,," 2,055 ",0.0%, 487 , 49 ,13.3%,2.3%,,,,,,
"Doña Ana County, NM",,,,," 218,195 ",0.1%, 611 , 838 ,14.0%,15.9%,,,,,,
"Doniphan County, KS",,,,," 7,600 ",0.0%," 1,474 "," 1,000 ",41.4%,28.7%,,,,,,
"Donley County, TX",,,,," 3,278 ",0.0%, 122 , 244 ,16.1%,27.0%,,,,,,
"Dooly County, GA",,,,," 13,390 ",0.0%, 75 , 60 ,5.9%,16.7%,,,,,,
"Door County, WI",,,,," 27,668 ",0.0%, 264 , 651 ,8.1%,13.2%,,,,,,
"Dorado, PR",,,,," 38,165 ",0.0%, 228 , 207 ,16.3%,12.9%,,,,,,
"Dorchester County, SC",,,,," 162,809 ",0.0%, 164 , 158 ,7.4%,10.8%,,,,,,
"Douglas County, CO",,,,," 351,154 ",0.2%, 471 , 500 ,12.1%,12.2%,,,,,,
"Douglas County, IL",,,,," 19,465 ",0.0%, 596 , 678 ,15.1%,9.0%,,,,,,
"Douglas County, KS",,,,," 122,259 ",0.0%, 342 , 418 ,8.3%,13.0%,,,,,,
"Douglas County, MN",,,,," 38,141 ",0.0%," 1,230 "," 1,308 ",20.3%,18.9%,,,,,,
"Douglas County, MO",,,,," 13,185 ",0.0%, 334 , 167 ,33.3%,60.0%,,,,,,
"Douglas County, NE",,,,," 571,327 ",0.3%, 682 , 925 ,14.0%,14.6%,,,,,,
"Douglas County, NV",,,,," 48,905 ",0.0%, 681 , 72 ,33.8%,13.3%,,,,,,
"Douglas County, SD",,,,," 2,921 ",0.0%, 719 ," 1,027 ",47.1%,11.3%,,,,,,
"Douglas County, WA",,,,," 43,429 ",0.0%, 375 , 437 ,5.4%,13.7%,,,,,,
"Douglas County, WI",,,,," 43,150 ",0.0%, 885 , 670 ,13.9%,13.7%,,,,,,
"Drew County, AR",,,,," 18,219 ",0.0%, 851 , 285 ,12.4%,6.1%,,,,,,
"Dubois County, IN",,,,," 42,736 ",0.0%, 512 , 477 ,11.8%,12.2%,,,,,,
"Dubuque County, IA",,,,," 97,311 ",0.1%, 666 , 946 ,19.7%,27.5%,,,,,,
"Duchesne County, UT",,,,," 19,938 ",0.0%, 371 , 517 ,19.4%,17.6%,,,,,,
"Dundy County, NE",,,,," 1,693 ",0.0%, 354 , 413 ,25.6%,0.0%,,,,,,
"Dunklin County, MO",,,,," 29,131 ",0.0%, 347 , 580 ,14.9%,18.3%,,,,,,
"Dunn County, ND",,,,," 4,424 ",0.0%, 452 , 542 ,5.3%,18.6%,,,,,,
"Dunn County, WI",,,,," 45,368 ",0.0%," 1,060 "," 1,029 ",11.2%,18.6%,,,,,,
"DuPage County, IL",,,,," 922,921 ",0.4%, 470 , 557 ,12.4%,14.6%,,,,,,
"Duval County, TX",,,,," 11,157 ",0.0%, 296 , 72 ,11.1%,9.7%,,,,,,
"Dyer County, TN",,,,," 37,159 ",0.0%, 460 , 600 ,22.5%,19.4%,,,,,,
"Eagle County, CO",,,,," 55,127 ",0.0%, 562 , 399 ,6.9%,8.6%,,,,,,
"Early County, GA",,,,," 10,190 ",0.0%, 147 , 157 ,15.8%,14.9%,,,,,,
"East Carroll Parish, LA",,,,," 6,861 ",0.0%," 1,035 ", 685 ,15.4%,34.0%,,,,,,
"East Feliciana Parish, LA",,,,," 19,135 ",0.0%, 387 ," 1,087 ",2.2%,3.5%,,,,,,
"Eastland County, TX",,,,," 18,360 ",0.0%, 163 , 114 ,22.9%,30.2%,,,,,,
"Eaton County, MI",,,,," 110,268 ",0.1%, 464 , 499 ,12.8%,12.5%,,,,,,
"Eau Claire County, WI",,,,," 104,646 ",0.1%, 566 ," 1,276 ",12.6%,18.9%,,,,,,
"Echols County, GA",,,,," 4,006 ",0.0%, 150 , 75 ,50.0%,14.3%,,,,,,
"Ector County, TX",,,,," 166,223 ",0.1%, 401 , 242 ,28.0%,28.9%,,,,,,
"Eddy County, ND",,,,," 2,287 ",0.0%, 918 ," 1,443 ",8.9%,9.4%,,,,,,
"Eddy County, NM",,,,," 58,460 ",0.0%, 727 , 493 ,14.6%,14.3%,,,,,,
"Edgar County, IL",,,,," 17,161 ",0.0%, 688 , 478 ,9.9%,8.6%,,,,,,
"Edgecombe County, NC",,,,," 51,472 ",0.0%, 278 , 253 ,11.2%,10.4%,,,,,,
"Edgefield County, SC",,,,," 27,260 ",0.0%, 158 , 205 ,15.8%,16.6%,,,,,,
"Edmonson County, KY",,,,," 12,150 ",0.0%, 247 , 650 ,11.4%,28.0%,,,,,,
"Edmunds County, SD",,,,," 3,829 ",0.0%, 496 , 601 ,5.3%,1.6%,,,,,,
"Edwards County, IL",,,,," 6,395 ",0.0%, 438 , 500 ,15.3%,29.8%,,,,,,
"Edwards County, KS",,,,," 2,798 ",0.0%, 608 ," 1,001 ",75.0%,41.2%,,,,,,
"Edwards County, TX",,,,," 1,932 ",0.0%, 776 , 155 ,40.3%,100.0%,,,,,,
"Effingham County, IL",,,,," 34,008 ",0.0%," 1,088 "," 1,035 ",27.5%,26.8%,,,,,,
"El Paso County, CO",,,,," 720,403 ",0.4%, 553 , 581 ,14.2%,14.2%,,,,,,
"El Paso County, TX",,,,," 839,238 ",0.4%, 599 ," 1,156 ",15.1%,26.4%,,,,,,
"Elbert County, CO",,,,," 26,729 ",0.0%, 299 , 359 ,15.5%,15.6%,,,,,,
"Elbert County, GA",,,,," 19,194 ",0.0%, 245 , 177 ,16.7%,11.5%,,,,,,
"Elk County, KS",,,,," 2,530 ",0.0%, 474 , 316 ,37.5%,40.0%,,,,,,
"Elk County, PA",,,,," 29,910 ",0.0%, 388 , 264 ,9.2%,8.6%,,,,,,
"Elkhart County, IN",,,,," 206,341 ",0.2%, 850 ," 1,135 ",21.7%,27.2%,,,,,,
"Elko County, NV",,,,," 52,778 ",0.0%, 845 , 512 ,42.3%,32.8%,,,,,,
"Elliott County, KY",,,,," 7,517 ",0.0%, 452 ," 1,237 ",11.6%,31.8%,,,,,,
"Ellis County, KS",,,,," 28,553 ",0.0%, 763 , 858 ,37.0%,41.2%,,,,,,
"Ellis County, OK",,,,," 3,859 ",0.0%," 2,669 "," 1,114 ",50.0%,28.6%,,,,,,
"Ellis County, TX",,,,," 184,826 ",0.1%, 393 , 213 ,14.7%,17.0%,,,,,,
"Ellsworth County, KS",,,,," 6,102 ",0.0%," 2,589 "," 1,049 ",34.4%,28.8%,,,,,,
"Elmore County, AL",,,,," 81,209 ",0.0%, 148 , 208 ,11.8%,12.0%,,,,,,
"Elmore County, ID",,,,," 27,511 ",0.0%, 291 , 284 ,18.8%,19.3%,,,,,,
"Emery County, UT",,,,," 10,012 ",0.0%, 449 , 270 ,21.7%,9.5%,,,,,,
"Emmet County, IA",,,,," 9,208 ",0.0%, 662 , 880 ,17.5%,22.6%,,,,,,
"Emmet County, MI",,,,," 33,415 ",0.0%, 314 , 473 ,5.1%,6.9%,,,,,,
"Emmons County, ND",,,,," 3,241 ",0.0%, 710 , 370 ,19.4%,19.0%,,,,,,
"Emporia City, VA",,,,," 5,346 ",0.0%, 337 , 19 ,48.3%,4.0%,,,,,,
"Erath County, TX",,,,," 42,698 ",0.0%, 246 , 337 ,14.8%,16.9%,,,,,,
"Erie County, NY",,,,," 918,702 ",0.3%, 423 , 322 ,8.7%,8.5%,,,,,,
"Erie County, OH",,,,," 74,266 ",0.0%, 662 , 421 ,15.4%,11.8%,,,,,,
"Erie County, PA",,,,," 269,728 ",0.1%, 363 , 340 ,13.6%,13.8%,,,,,,
"Esmeralda County, NV",,,,, 873 ,0.0%, 458 , 573 ,12.5%,50.0%,,,,,,
"Essex County, MA",,,,," 789,034 ",0.3%, 380 , 349 ,6.0%,5.7%,,,,,,
"Essex County, NJ",,,,," 798,975 ",0.2%, 274 , 340 ,8.8%,11.2%,,,,,,
"Estill County, KY",,,,," 14,106 ",0.0%, 404 , 298 ,10.3%,9.1%,,,,,,
"Etowah County, AL",,,,," 102,268 ",0.0%, 354 , 389 ,14.7%,18.8%,,,,,,
"Evangeline Parish, LA",,,,," 33,395 ",0.0%, 488 , 515 ,11.7%,8.7%,,,,,,
"Fairfax County, VA",,,,," 1,147,532 ",0.2%, 208 , 129 ,5.3%,12.7%,,,,,,
"Fairfield County, CT",,,,," 943,332 ",0.3%, 363 , 386 ,10.5%,11.7%,,,,,,
"Fairfield County, OH",,,,," 157,574 ",0.1%, 611 , 501 ,11.3%,9.2%,,,,,,
"Fairfield County, SC",,,,," 22,347 ",0.0%, 170 , 264 ,6.3%,11.5%,,,,,,
"Fajardo, PR",,,,," 36,993 ",0.0%, 35 , 73 ,0.0%,20.6%,,,,,,
"Fall River County, SD",,,,," 6,713 ",0.0%, 238 , 804 ,7.3%,18.0%,,,,,,
"Fallon County, MT",,,,," 2,846 ",0.0%, 668 ," 2,460 ",5.1%,47.5%,,,,,,
"Falls County, TX",,,,," 17,297 ",0.0%, 185 , 104 ,12.5%,15.2%,,,,,,
"Fannin County, GA",,,,," 26,188 ",0.0%, 164 , 225 ,6.3%,19.7%,,,,,,
"Fannin County, TX",,,,," 35,514 ",0.0%, 130 , 96 ,7.9%,13.2%,,,,,,
"Faribault County, MN",,,,," 13,653 ",0.0%, 681 , 623 ,9.5%,10.4%,,,,,,
"Faulk County, SD",,,,," 2,299 ",0.0%, 261 , 739 ,33.3%,5.6%,,,,,,
"Fayette County, AL",,,,," 16,302 ",0.0%, 325 , 337 ,25.0%,28.3%,,,,,,
"Fayette County, IA",,,,," 19,650 ",0.0%, 473 , 896 ,16.8%,23.1%,,,,,,
"Fayette County, IL",,,,," 21,336 ",0.0%," 1,495 "," 1,083 ",24.0%,32.1%,,,,,,
"Fayette County, IN",,,,," 23,102 ",0.0%, 697 , 822 ,17.0%,15.9%,,,,,,
"Fayette County, KY",,,,," 323,152 ",0.2%, 520 , 475 ,15.2%,12.5%,,,,,,
"Fayette County, OH",,,,," 28,525 ",0.0%, 473 , 550 ,15.9%,20.8%,,,,,,
"Fayette County, PA",,,,," 129,274 ",0.0%, 354 , 197 ,12.9%,7.8%,,,,,,
"Fayette County, TN",,,,," 41,133 ",0.0%, 360 , 287 ,6.1%,10.3%,,,,,,
"Fayette County, TX",,,,," 25,346 ",0.0%, 75 , 43 ,14.5%,17.2%,,,,,,
"Fentress County, TN",,,,," 18,523 ",0.0%, 367 , 410 ,9.9%,8.3%,,,,,,
"Fergus County, MT",,,,," 11,050 ",0.0%, 914 ," 1,068 ",20.7%,28.8%,,,,,,
"Ferry County, WA",,,,," 7,627 ",0.0%, 315 , 92 ,16.2%,7.7%,,,,,,
"Fillmore County, MN",,,,," 21,067 ",0.0%, 536 , 627 ,10.1%,8.9%,,,,,,
"Fillmore County, NE",,,,," 5,462 ",0.0%, 622 ," 1,117 ",33.1%,38.9%,,,,,,
"Finney County, KS",,,,," 36,467 ",0.0%, 573 ," 1,382 ",36.1%,37.8%,,,,,,
"Fisher County, TX",,,,," 3,830 ",0.0%, 313 , 131 ,34.3%,0.0%,,,,,,
"Flathead County, MT",,,,," 103,806 ",0.1%, 912 , 785 ,19.7%,35.7%,,,,,,
"Fleming County, KY",,,,," 14,581 ",0.0%, 363 , 151 ,17.0%,11.2%,,,,,,
"Florence County, SC",,,,," 138,293 ",0.0%, 222 , 215 ,11.0%,10.8%,,,,,,
"Florence County, WI",,,,," 4,295 ",0.0%, 303 , 536 ,14.3%,12.3%,,,,,,
"Florida, PR",,,,," 12,680 ",0.0%, 237 , 300 ,0.0%,5.9%,,,,,,
"Floyd County, GA",,,,," 98,498 ",0.0%, 234 , 281 ,14.4%,15.7%,,,,,,
"Floyd County, IA",,,,," 15,642 ",0.0%, 901 ," 1,068 ",21.6%,19.4%,,,,,,
"Floyd County, IN",,,,," 78,522 ",0.0%, 481 , 516 ,11.2%,14.5%,,,,,,
"Floyd County, KY",,,,," 35,589 ",0.0%, 537 , 576 ,19.8%,23.1%,,,,,,
"Floyd County, TX",,,,," 5,712 ",0.0%, 70 , 420 ,30.4%,33.3%,,,,,,
"Floyd County, VA",,,,," 15,749 ",0.0%, 229 , 133 ,7.9%,15.4%,,,,,,
"Foard County, TX",,,,," 1,155 ",0.0%, 606 , 87 ,41.2%,0.0%,,,,,,
"Fond du Lac County, WI",,,,," 103,403 ",0.1%, 507 , 886 ,14.1%,17.6%,,,,,,
"Ford County, IL",,,,," 12,961 ",0.0%, 772 ," 1,049 ",11.1%,16.6%,,,,,,
"Ford County, KS",,,,," 33,619 ",0.0%, 526 , 934 ,23.1%,25.5%,,,,,,
"Forest County, PA",,,,," 7,247 ",0.0%, 442 , 69 ,8.0%,1.9%,,,,,,
"Forest County, WI",,,,," 9,004 ",0.0%, 333 , 655 ,8.2%,17.2%,,,,,,
"Forsyth County, GA",,,,," 244,252 ",0.0%, 169 , 155 ,11.5%,10.1%,,,,,,
"Forsyth County, NC",,,,," 382,295 ",0.1%, 305 , 280 ,8.9%,10.4%,,,,,,
"Foster County, ND",,,,," 3,210 ",0.0%," 2,305 "," 2,741 ",25.3%,27.7%,,,,,,
"Fountain County, IN",,,,," 16,346 ",0.0%, 679 , 808 ,14.7%,17.6%,,,,,,
"Franklin County, AL",,,,," 31,362 ",0.0%, 265 , 169 ,12.8%,15.0%,,,,,,
"Franklin County, AR",,,,," 17,715 ",0.0%, 457 , 231 ,13.9%,7.5%,,,,,,
"Franklin County, GA",,,,," 23,349 ",0.0%, 274 , 248 ,25.3%,19.0%,,,,,,
"Franklin County, IA",,,,," 10,070 ",0.0%, 715 ," 1,053 ",20.0%,18.4%,,,,,,
"Franklin County, ID",,,,," 13,876 ",0.0%, 663 , 735 ,30.9%,28.4%,,,,,,
"Franklin County, IL",,,,," 38,469 ",0.0%, 533 , 788 ,14.4%,16.8%,,,,,,
"Franklin County, IN",,,,," 22,758 ",0.0%, 558 , 365 ,21.9%,23.3%,,,,,,
"Franklin County, KS",,,,," 25,544 ",0.0%, 959 , 505 ,21.8%,18.1%,,,,,,
"Franklin County, KY",,,,," 50,991 ",0.0%, 298 , 220 ,11.1%,7.8%,,,,,,
"Franklin County, MO",,,,," 103,967 ",0.0%, 407 , 494 ,22.8%,27.0%,,,,,,
"Franklin County, MS",,,,," 7,713 ",0.0%, 337 , 389 ,30.4%,43.6%,,,,,,
"Franklin County, NE",,,,," 2,979 ",0.0%, 436 , 772 ,29.4%,35.2%,,,,,,
"Franklin County, OH",,,,," 1,316,756 ",0.5%, 454 , 372 ,12.4%,12.8%,,,,,,
"Franklin County, PA",,,,," 155,027 ",0.1%, 421 , 408 ,14.3%,16.1%,,,,,,
"Franklin County, TN",,,,," 42,208 ",0.0%, 502 , 592 ,17.6%,11.0%,,,,,,
"Franklin County, TX",,,,," 10,725 ",0.0%, 37 , 56 ,12.3%,13.6%,,,,,,
"Franklin County, VA",,,,," 56,042 ",0.0%, 382 , 202 ,7.2%,17.9%,,,,,,
"Franklin County, WA",,,,," 95,222 ",0.1%, 637 , 445 ,20.3%,11.9%,,,,,,
"Franklin Parish, LA",,,,," 20,015 ",0.0%, 315 , 570 ,7.3%,21.3%,,,,,,
"Frederick County, VA",,,,," 89,313 ",0.0%, 297 , 301 ,5.9%,19.5%,,,,,,
"Freeborn County, MN",,,,," 30,281 ",0.0%, 677 , 885 ,11.0%,11.7%,,,,,,
"Fremont County, CO",,,,," 47,839 ",0.1%," 1,288 ", 959 ,11.2%,8.2%,,,,,,
"Fremont County, IA",,,,," 6,960 ",0.0%, 287 , 761 ,19.4%,28.8%,,,,,,
"Fremont County, ID",,,,," 13,099 ",0.0%, 412 , 466 ,43.8%,65.1%,,,,,,
"Fremont County, WY",,,,," 39,261 ",0.0%," 1,067 "," 1,480 ",14.8%,18.9%,,,,,,
